# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
13276,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 358,65 -0 b0 i297649757
13331,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 359,85 358,2 b0 i297649812
13373,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 0,9 357,3 b0 i297649854
13425,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 2,55 356,25 b0 i297649906
13474,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 3,15 355,8 b0 i297649955
13526,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 4,35 354,9 b0 i297650007
13573,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 4,65 354,75 b0 i297650054
13626,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 5,1 354,45 b0 i297650107
13678,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 6,15 353,7 b0 i297650159
13723,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 8,4 352,35 b0 i297650204
13776,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 10,05 351,3 b0 i297650257
13828,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 10,5 351 b0 i297650309
13875,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 10,65 350,7 b0 i297650356
13926,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 10,65 350,7 b0 i297650407
13974,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,5 1 75,5 10,65 350,7 b0 i297650455
14023,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,465 1 75,713 10,65 350,7 b1 i297650504
14074,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,409 1 76,054 10,65 350,7 b1 i297650555
14124,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,341 1 76,472 10,8 350,85 b1 i297650605
14175,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,266 1 76,936 10,8 350,85 b1 i297650656
14225,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,189 1 77,428 10,65 351,45 b1 i297650707
14274,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,111 1 77,937 10,5 351,6 b1 i297650755
14324,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 36,035 0 78,456 10,5 352,05 b17 i297650805
14375,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 35,996 0 78,716 10,5 352,2 b1 i297650856
