# Blockpost room-protocol capture, started 2026-08-23 14:18:40
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
72624,4 ==== FIELDWATCH ON ====
72639,7 # net: TcpClient.Connected = True
72657,8 # fieldwatch player: 51 numeric fields on KBBBHJDINCB
72657,9 # fieldwatch Controll.static: 74 numeric fields on Controll
72658,1 # fieldwatch Controll: 28 numeric fields on Controll
72663,0 # fieldwatch weapon: 3 numeric fields on CGJPBNDDPIN
72664,2 # fieldwatch activeEntry: 8 numeric fields on FPNENMKEFBB
72699,0 fw Controll.static DGNDKAKOEPD         1419449 -> 1422581
72699,0 fw Controll.static BEJBLGGGOCC       338999694 -> 339002809
72699,0 fw Controll.static JELGPAKAJPE             102 -> 120
72699,0 fw Controll.static EENJPDHGGGC         69.2764 -> 72.4085
72709,3 fw Controll.static MKFDGFOCKNO         72.3863 -> 72.4363
72709,3 fw Controll.static LEKCBKLAILO         72.4363 -> 72.4863
72709,3 fw Controll.static OFJKHAFJIMA          0.0259 -> 0.0058
72725,5 fw Controll.static GIPNIMALPEG          0.7662 -> 0.444
72756,5 fw Controll.static OFJKHAFJIMA          0.0058 -> 0.003
72761,6 fw Controll.static GIPNIMALPEG           0.444 -> 0.1655
72780,0 fw Controll.static MKFDGFOCKNO         72.4363 -> 72.4863
72780,0 fw Controll.static LEKCBKLAILO         72.4863 -> 72.5363
72789,7 fw Controll.static GIPNIMALPEG          0.1655 -> 0.7269
72807,3 fw Controll.static MKFDGFOCKNO         72.4863 -> 72.5363
72807,3 fw Controll.static LEKCBKLAILO         72.5363 -> 72.5863
72807,3 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0037
72814,2 fw Controll.static GIPNIMALPEG          0.7269 -> 0.2178
72841,0 fw Controll.static GIPNIMALPEG          0.2178 -> 0.7536
72857,6 fw Controll.static MKFDGFOCKNO         72.5363 -> 72.5863
72857,6 fw Controll.static LEKCBKLAILO         72.5863 -> 72.6363
72857,6 fw Controll.static OFJKHAFJIMA          0.0037 -> 0.0041
72865,8 fw Controll.static GIPNIMALPEG          0.7536 -> 0.2497
72890,7 fw Controll.static GIPNIMALPEG          0.2497 -> 0.7467
72907,4 fw Controll.static MKFDGFOCKNO         72.5863 -> 72.6363
72907,4 fw Controll.static LEKCBKLAILO         72.6363 -> 72.6863
72907,4 fw Controll.static OFJKHAFJIMA          0.0041 -> 0.0039
72915,5 fw Controll.static GIPNIMALPEG          0.7467 -> 0.2427
72942,0 fw Controll.static GIPNIMALPEG          0.2427 -> 0.7737
72957,8 fw Controll.static MKFDGFOCKNO         72.6363 -> 72.6863
72957,8 fw Controll.static LEKCBKLAILO         72.6863 -> 72.7363
72957,8 fw Controll.static OFJKHAFJIMA          0.0039 -> 0.0042
72965,8 fw Controll.static GIPNIMALPEG          0.7737 -> 0.248
72989,4 fw Controll.static GIPNIMALPEG           0.248 -> 0.7197
73005,8 fw Controll.static MKFDGFOCKNO         72.6863 -> 72.7364
73005,8 fw Controll.static LEKCBKLAILO         72.7363 -> 72.7864
73005,8 fw Controll.static OFJKHAFJIMA          0.0042 -> 0.0022
73011,3 fw Controll.static GIPNIMALPEG          0.7197 -> 0.1579
73044,9 fw Controll.static GIPNIMALPEG          0.1579 -> 0.8305
