# Blockpost room-protocol capture, started 2026-08-23 14:26:01
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15077,6 ==== FIELDWATCH ON ====
15086,0 # net: TcpClient.Connected = True
15108,7 #   player.GPBAJMJILMA len=2 [0, 0]
15108,9 #   player.JNBMIDFBOHD len=2 [7,03125, 0]
15109,0 #   player.JPDHFNADBKI len=2 [7,03125, 90]
15109,1 #   player.GDEMINMDJAC len=4 [0, 0, 0, 0]
15109,3 #   player.DDKPBGMMNIA len=10 [0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
15109,5 #   player.PPOOANLEBNI len=40 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15110,0 # fieldwatch player: 51 numeric fields, 6 arrays (GPBAJMJILMA,JNBMIDFBOHD,JPDHFNADBKI,GDEMINMDJAC,DDKPBGMMNIA,PPOOANLEBNI) on KBBBHJDINCB
15111,2 #   Controll.static.DDOHELGGICN len=6 [(normal:(0.76, -0.01, -0.65), distance:30.45), (normal:(0.76, -0.01, 0.65), distance:-40.85), (normal:(0.55, 0.83, 0.00), distance:-11.70), (normal:(0.52, -0.85, 0.00), distance:4.37), (normal:(1.00, -0.02, 0.00), distance:-6.84), (normal:(-1.00, 0.02, 0.00), distance:262.55)]
15111,2 # fieldwatch Controll.static: 74 numeric fields, 1 arrays (DDOHELGGICN) on Controll
15111,4 # fieldwatch Controll: 28 numeric fields, 0 arrays () on Controll
15113,5 # fieldwatch weapon: 3 numeric fields, 0 arrays () on CGJPBNDDPIN
15118,8 #   activeEntry.COAAKMDBKJM len=3 [0, 0, 0]
15118,8 # fieldwatch activeEntry: 8 numeric fields, 1 arrays (COAAKMDBKJM) on FPNENMKEFBB
15165,1 fw Controll.static NAKNALFCOIF              90 -> 90.15
15165,1 fw Controll.static IGLCENGMMMJ            1.35 -> 1.95
15190,9 fw Controll.static GIPNIMALPEG          0.2794 -> 0.278
15190,9 fw Controll.static IGLCENGMMMJ            1.95 -> 2.1
15198,0 fw Controll.static MKFDGFOCKNO         14.8585 -> 14.9085
15198,0 fw Controll.static LEKCBKLAILO         14.9085 -> 14.9585
15206,9 fw Controll.static OFJKHAFJIMA          0.0039 -> 0.0054
15212,1 fw Controll.static GIPNIMALPEG           0.278 -> 0.7044
15212,2 fw Controll.static IGLCENGMMMJ             2.1 -> 2.25
15230,1 fw Controll.static MKFDGFOCKNO         14.9085 -> 14.9585
15230,1 fw Controll.static LEKCBKLAILO         14.9585 -> 15.0085
15230,1 fw Controll.static OFJKHAFJIMA          0.0054 -> 0.0029
15243,0 fw Controll.static GIPNIMALPEG          0.7044 -> 0.322
15243,0 fw Controll.static IGLCENGMMMJ            2.25 -> 2.4
15258,3 fw player          LNIDBHIAJJI               5 -> 0
15258,3 fw player          CLOEJLAOIGI               1 -> 0
15258,3 fw player          HEADELMLILF               1 -> 0
15265,9 fw Controll.static GIPNIMALPEG           0.322 -> 0.7801
15266,0 fw Controll.static NAKNALFCOIF           90.15 -> 90.3
15266,0 fw Controll.static IGLCENGMMMJ             2.4 -> 3
15280,6 fw Controll.static MKFDGFOCKNO         14.9585 -> 15.0085
15280,6 fw Controll.static LEKCBKLAILO         15.0085 -> 15.0585
